name,url,image,regular_price,special_price,discount_pct,in_stock,sku,description
EK-Loop Connect - External USB Cable (1M),https://mdcomputers.in/product/ek-loop-connect-external-usb-cable,https://mdcomputers.in/image/catalog/diy_tools_and_accessories/ekwb/3831109818800/usb-calbe-main.jpg,"₹1,299",₹550,-58%,,,
Pioneer 240GB Type-C External SSD,https://mdcomputers.in/product/pioneer-240gb-external-ssd-aps-xs02-240,https://mdcomputers.in/image/catalog/ssd/pioneer/aps-xs02-240/aps-xs02-240-image-main.jpg,"₹9,900","₹4,999",-50%,,,
Pioneer XS03 External SSD 480GB,https://mdcomputers.in/product/pioneer-480gb-external-ssd-aps-xs03-480,https://mdcomputers.in/image/catalog/ssd/pioneer/aps-xs03-480/aps-xs03-480-image-main.jpg,"₹10,500","₹5,999",-43%,,,
Seagate Expansion 1TB External Hard Drive,https://mdcomputers.in/product/seagate-expansion-1tb-external-hard-drive-stkm1000400,https://mdcomputers.in/image/catalog/hdd/seagate/stkm1000400/seagate-expansion-1tb-external-hard-drive-stkm1000400-image-main.jpg,"₹10,000","₹9,140",-9%,,,
Western Digital Elements 1TB External Hard Drive,https://mdcomputers.in/product/wd-elements-1tb-external-hard-drive-wdbhhg0010bbk-eesn,https://mdcomputers.in/image/catalog/hdd/western%20digital/wdbhhg0010bbk-eesn/wdbhhg0010bbk-eesn-image-main.jpg,"₹14,000","₹9,299",-34%,,,
Seagate One Touch 1TB External Hard Drive,https://mdcomputers.in/product/seagate-one-touch-1tb-external-hard-drive-stky1000400,https://mdcomputers.in/image/catalog/hdd/seagate/stky1000400/seagate-onetouch-1tb-external-hdd-black-image-main.jpg,"₹10,000","₹9,760",-2%,,,
Western Digital My Passport 1TB External Hard Drive,https://mdcomputers.in/product/wd-my-passport-1tb-external-hard-drive-wdbyvg0010bbk-wesn,https://mdcomputers.in/image///////////////////catalog/hdd/western%20digital/wdbynn0010bbk-wesn/western-digital-1tb-my-passport-blackwdbynn0010bbk-wesn-6102.jpg,"₹12,000","₹9,760",-19%,,,
Kingston Dual Portable USB Type A and Type C 512GB SSD,https://mdcomputers.in/product/kingston-spsd-512gb-dual-portable-ssd,https://mdcomputers.in/image/catalog/ssd/kingston/spsd-512gb/spsd-512gb-image-main.webp,"₹22,000","₹10,640",-52%,,,
ADATA HD710 Pro Red 2TB External Hard Drive,https://mdcomputers.in/product/adata-hd710-pro-2tb-external-hard-drive-ahd710p-2tu31-crd,https://mdcomputers.in/image/catalog/hdd/adata/ahd710p-2tu31-crd/hd710p_2tb_red_img_main.jpg,"₹33,999","₹10,750",-68%,,,
Western Digital My Passport 2TB External Hard Drive,https://mdcomputers.in/product/wd-my-passport-2tb-external-hard-drive-wdbyvg0020bbk-wesn,https://mdcomputers.in/image/catalog/hdd/western%20digital/wdbyvg0020bbk/wdbyvg0020bbk_img_main.jpg,"₹15,000","₹11,500",-23%,,,
